212; 	  63.0245; 	   2631; 	  4.0; 	10.00; 	"";
213; 	  64.0314; 	   8277; 	 12.5; 	10.00; 	"12.50";
214; 	  65.0406; 	   1180; 	  1.8; 	10.00; 	"";
215; 	  67.0167; 	    129; 	  0.2; 	10.00; 	"";
216; 	  69.9898; 	    154; 	  0.2; 	10.00; 	"";
217; 	  74.0174; 	    564; 	  0.9; 	10.00; 	"";
218; 	  75.0225; 	  65955; 	100.0; 	10.00; 	"100.00";
219; 	  75.0983; 	    384; 	  0.6; 	10.00; 	"";
220; 	  76.0296; 	   4919; 	  7.5; 	10.00; 	"";
221; 	  77.0317; 	    496; 	  0.8; 	10.00; 	"";
222; 	  79.0211; 	    199; 	  0.3; 	10.00; 	"";
223; 	  89.0388; 	    103; 	  0.2; 	10.00; 	"";
224; 	  92.0273; 	  48718; 	 73.9; 	10.00; 	"73.90";
225; 	  93.0346; 	   3594; 	  5.4; 	10.00; 	"";
226; 	  94.0317; 	    107; 	  0.2; 	10.00; 	"";
227; 	  94.5924; 	    100; 	  0.2; 	10.00; 	"";
228; 	 105.0691; 	    109; 	  0.2; 	10.00; 	"";
229; 	 107.0122; 	    772; 	  1.2; 	10.00; 	"";
230; 	 111.0428; 	    100; 	  0.2; 	10.00; 	"";
231; 	 116.0468; 	    258; 	  0.4; 	10.00; 	"";
232; 	 120.0483; 	   1611; 	  2.4; 	10.00; 	"";
233; 	 121.0464; 	    100; 	  0.2; 	10.00; 	"";
234; 	 122.0256; 	  41117; 	 62.3; 	10.00; 	"62.30";
235; 	 123.0285; 	   2614; 	  4.0; 	10.00; 	"";
236; 	 124.0250; 	    149; 	  0.2; 	10.00; 	"";
237; 	 130.0285; 	    101; 	  0.2; 	10.00; 	"";
238; 	 131.0829; 	    103; 	  0.2; 	10.00; 	"";
239; 	 139.4316; 	    130; 	  0.2; 	10.00; 	"";
240; 	 148.0396; 	    121; 	  0.2; 	10.00; 	"";
241; 	 152.0609; 	    118; 	  0.2; 	10.00; 	"";
242; 	 156.7860; 	    262; 	  0.4; 	10.00; 	"";
243; 	 166.4830; 	    258; 	  0.4; 	10.00; 	"";
244; 	 218.1133; 	    207; 	  0.3; 	10.00; 	"";
245; 	 234.0400; 	    249; 	  0.4; 	10.00; 	"";
246; 	 260.2986; 	    244; 	  0.4; 	10.00; 	"";
247; 	 281.4723; 	    259; 	  0.4; 	10.00; 	"";
248; 	 403.4558; 	    257; 	  0.4; 	10.00; 	"";
249; 	 432.5285; 	    280; 	  0.4; 	10.00; 	"";
250; 	 552.9629; 	    257; 	  0.4; 	10.00; 	"";
251; 	 560.8024; 	    265; 	  0.4; 	10.00; 	"";
252; 	 629.6970; 	    163; 	  0.2; 	10.00; 	"";
253; 	 652.2040; 	    282; 	  0.4; 	10.00; 	"";
254; 	  38.0164; 	    228; 	  0.1; 	20.00; 	"";
255; 	  39.0226; 	    933; 	  0.5; 	20.00; 	"";
256; 	  50.0163; 	   1369; 	  0.7; 	20.00; 	"";
257; 	  51.0221; 	    893; 	  0.5; 	20.00; 	"";
258; 	  53.0023; 	    226; 	  0.1; 	20.00; 	"";
259; 	  53.9986; 	    270; 	  0.1; 	20.00; 	"";
260; 	  55.0163; 	    113; 	  0.1; 	20.00; 	"";
